seed,n_x,epoch,elapsed_sec,train_loss,val_loss,test_nrmse
0,2,0,0.0,nan,2.1075707197189333,1.6632781982421876
0,2,1,11.365987999990466,0.40015779477967456,0.020703386329114438,0.15574302673339843
0,2,2,19.801054900002782,0.010533611586486752,0.003987342538312078,0.0704403018951416
0,2,3,28.275912600001902,0.00677254036153582,0.0030164485797286034,0.06034515380859375
0,2,4,36.82636379999167,0.005127144093752246,0.005160522041842341,0.080452880859375
0,2,5,45.219610100000864,0.00387608476342972,0.002513538068160415,0.05504972457885742
0,2,6,53.72686569999496,0.005777238037394868,0.0032159012742340566,0.06204537868499756
0,2,7,62.36568239999178,0.0036711585443382237,0.0017925090854987503,0.0475656795501709
0,2,8,70.99785719999636,0.004449501903515987,0.002299654297530651,0.05534459114074707
0,2,9,79.57614789999207,0.0030604700970632785,0.0024340332951396705,0.05570429801940918
0,2,10,88.27796589999343,0.004114880329738794,0.004207230266183614,0.0711455249786377
0,2,11,97.0870930999954,0.0030839227018242873,0.0027721379417926075,0.05709299087524414
0,2,12,105.87275009999576,0.0056252600069538776,0.0017760312650352717,0.047449193000793456
0,2,13,114.58627169999818,0.0027146039170805702,0.0014026046264916658,0.0425003433227539
0,2,14,123.34221390000312,0.001909083340168846,0.0023446576669812202,0.05482895851135254
0,2,15,132.26371099999233,0.0039933262054215775,0.0018856560345739126,0.04816686630249024
0,2,16,141.21824950000155,0.0031665262411644853,0.0018055312568321825,0.047917356491088865
0,2,17,150.09751569999207,0.0035936369597700172,0.002225067000836134,0.05272517204284668
0,2,18,159.00967339999625,0.0017746157536748797,0.0012523038778454066,0.04035271167755127
0,2,19,167.9985469999956,0.0035993490177630024,0.001636077743023634,0.04552398204803467
0,2,20,176.81834689999232,0.0022827768698334694,0.001129340718034655,0.037996711730957033
0,2,21,185.80032189999474,0.08342942857151767,0.35095965266227724,0.6563180541992187
0,2,22,194.81913119999808,0.07010463777590882,0.002812606981024146,0.06039644718170166
0,2,23,203.83227839999017,0.0024659844983199782,0.0014154629316180944,0.041786999702453614
0,2,24,212.7672365000035,0.0016045966026881201,0.0012891990249045194,0.03960650444030762
0,2,25,221.8592331999971,0.0014037816409571942,0.0011777805979363621,0.03776619434356689
0,2,26,230.9590843999904,0.0012852827679704535,0.0010437784367240965,0.03599342584609985
0,2,27,240.08041650000087,0.001198862994153222,0.0009827597765251993,0.03480130434036255
0,2,28,249.15362789999926,0.0011229904484935105,0.0009820470004342496,0.034897525310516354
0,2,29,258.348528100003,0.0010742388734466988,0.0009116617497056722,0.03399622678756714
0,2,30,267.4975912999944,0.0010324892183151942,0.0008890378288924694,0.03344150304794311
0,2,31,276.7022930999956,0.0009982929067601535,0.0008673930657096207,0.0330515193939209
0,2,32,285.88329699999304,0.0009790965176018124,0.0008877457934431731,0.03319121837615967
0,2,33,294.59164499999315,0.0009752509358804673,0.0008375692763365805,0.03213921785354614
0,2,34,303.8879179999931,0.0009428719005716795,0.0008232041844166815,0.03208491086959839
0,2,35,312.88053120000404,0.000918062647211958,0.0007749236072413623,0.030963149070739746
0,2,36,322.110440000004,0.0009007530765798451,0.0008382487227208913,0.03220670700073242
0,2,37,331.3662811999966,0.0009052343031560832,0.0007379616727121174,0.030460374355316164
0,2,38,340.6955103999935,0.0008714626826324754,0.0007568874396383762,0.030741047859191895
0,2,39,349.96319300000323,0.0008552220070586455,0.0007201328058727086,0.03016737461090088
0,2,40,359.2578208999912,0.0008776467412562025,0.0008655665325932205,0.03252097606658935
0,2,41,368.5977858999977,0.0008108780920420858,0.0006782124983146787,0.029289467334747313
0,2,42,377.9705719999911,0.00079765092629135,0.0006733724847435951,0.0295581579208374
0,2,43,387.30810490000295,0.0007867871384157545,0.0006388359819538891,0.028417913913726806
0,2,44,396.69538069999544,0.0008488835631975566,0.0013696051319129765,0.03932377576828003
0,2,45,406.10905159999675,0.0010163066895488141,0.0006794366636313498,0.029831912517547608
0,2,46,415.5463077000022,0.0008218003825856034,0.0009795425459742547,0.03565625429153443
0,2,47,424.6399395999906,0.0007742149292343212,0.0006631014111917466,0.028608274459838868
0,2,48,433.554455599995,0.0009671565031484616,0.0009281390579417348,0.03285755634307861
0,2,49,442.99404589999176,0.000758191018989733,0.000683283171383664,0.029115593433380126
0,2,50,452.46409939999285,0.0016387273075948046,0.0005751762364525348,0.02741471529006958
0,2,51,461.8608880999964,0.001187703262654726,0.0019369136542081832,0.047881274223327636
0,2,52,471.33774119999725,0.0015305882420348512,0.0005866078659892082,0.026856138706207275
0,2,53,480.87708819999534,0.0006450104986222207,0.0004835414933040738,0.02577143669128418
0,2,54,490.48945419999654,0.0014874413874084976,0.002043628552928567,0.0508721923828125
0,2,55,500.0722526000027,0.002489561380405741,0.014084433112293482,0.1303359889984131
0,2,56,509.66079829999944,0.003517279029024807,0.0004311171069275588,0.022999706268310546
0,2,57,519.221862499995,0.0004960967119338668,0.00024794807250145824,0.017891377210617065
0,2,58,528.8454275999975,0.0005082312047968364,0.00030579231679439545,0.020140347480773927
0,2,59,538.2507966999983,0.0005580590024526992,0.004214872187003493,0.07349473476409912
0,2,60,547.8112772000022,0.0010040617297900926,0.00025385510234627874,0.017785247564315796
1,2,0,0.0,nan,3.4349371433258056,2.097817687988281
1,2,1,12.446980099994107,0.5179644866253842,0.03157087936997414,0.18909751892089843
1,2,2,21.72243829999934,0.017225952988321133,0.004651941591873765,0.07859426498413086
1,2,3,31.06816819999949,0.005136937209912999,0.003375181881710887,0.06583358287811279
1,2,4,40.39513910000096,0.004043919933875176,0.0028507755370810626,0.060673766136169434
1,2,5,49.87894409999717,0.0034337558000433173,0.002885943092405796,0.062384033203125
1,2,6,59.18447300000116,0.0035047154524363577,0.003047403506934643,0.06103287220001221
1,2,7,68.46872269999585,0.0028074035230516033,0.0022143203066661956,0.052927584648132325
1,2,8,77.73569529999804,0.004736138989259912,0.002862381562590599,0.05861763000488281
1,2,9,87.07149119999667,0.0029030689197084444,0.0017797149484977126,0.048535456657409666
1,2,10,96.35853430000134,0.002549989077537744,0.0019527509110048413,0.05074301719665528
1,2,11,105.6085516000021,0.0019886110729368574,0.002735207718797028,0.05704811096191406
1,2,12,115.03432439999597,0.003560411190846935,0.002047698269598186,0.05083636283874512
1,2,13,124.39489549999416,0.002929705763976513,0.0033042924711480736,0.06250581741333008
1,2,14,133.79763559999992,0.003290077970384366,0.0017835330450907349,0.047236146926879885
1,2,15,143.03248569999414,0.003075372361556881,0.0021947433473542334,0.05198073387145996
1,2,16,152.3788315999991,0.0021534208128948444,0.002081755758263171,0.050429973602294925
1,2,17,161.68165169999702,0.00226633685154163,0.007701600156724453,0.09391280174255372
1,2,18,170.94725800000015,0.005785918119892647,0.0014832181157544255,0.043816328048706055
1,2,19,180.33681529999012,0.0018214658061465757,0.0021127326181158423,0.05064404487609863
