seed,n_x,epoch,elapsed_sec,train_loss,val_loss,test_nrmse
0,2,0,0.0,nan,4.135992050170898,2.1949485778808593
0,2,1,4.489932399999816,2.793586015701294,2.157604455947876,1.353914794921875
0,2,2,7.370341799993184,1.580014944076538,1.8464256525039673,1.1294981384277343
